Date,Open,High,Low,Close,Volume,Ticker
2000-06-15,,,,,,META
2000-06-16,,,,,,META
2000-06-19,,,,,,META
2000-06-20,,,,,,META
2000-06-21,,,,,,META
2000-06-22,,,,,,META
2000-06-23,,,,,,META
2000-06-26,,,,,,META
2000-06-27,,,,,,META
2000-06-28,,,,,,META
2000-06-29,,,,,,META
2000-06-30,,,,,,META
2000-07-03,,,,,,META
2000-07-05,,,,,,META
2000-07-06,,,,,,META
2000-07-07,,,,,,META
2000-07-10,,,,,,META
2000-07-11,,,,,,META
2000-07-12,,,,,,META
2000-07-13,,,,,,META
2000-07-14,,,,,,META
2000-07-17,,,,,,META
2000-07-18,,,,,,META
2000-07-19,,,,,,META
2000-07-20,,,,,,META
2000-07-21,,,,,,META
2000-07-24,,,,,,META
2000-07-25,,,,,,META
2000-07-26,,,,,,META
2000-07-27,,,,,,META
2000-07-28,,,,,,META
2000-07-31,,,,,,META
2000-08-01,,,,,,META
2000-08-02,,,,,,META
2000-08-03,,,,,,META
2000-08-04,,,,,,META
2000-08-07,,,,,,META
2000-08-08,,,,,,META
2000-08-09,,,,,,META
2000-08-10,,,,,,META
2000-08-11,,,,,,META
2000-08-14,,,,,,META
2000-08-15,,,,,,META
2000-08-16,,,,,,META
2000-08-17,,,,,,META
2000-08-18,,,,,,META
2000-08-21,,,,,,META
2000-08-22,,,,,,META
2000-08-23,,,,,,META
2000-08-24,,,,,,META
2000-08-25,,,,,,META
2000-08-28,,,,,,META
2000-08-29,,,,,,META
2000-08-30,,,,,,META
2000-08-31,,,,,,META
2000-09-01,,,,,,META
2000-09-05,,,,,,META
2000-09-06,,,,,,META
2000-09-07,,,,,,META
2000-09-08,,,,,,META
2000-09-11,,,,,,META
2000-09-12,,,,,,META
2000-09-13,,,,,,META
2000-09-14,,,,,,META
2000-09-15,,,,,,META
2000-09-18,,,,,,META
2000-09-19,,,,,,META
2000-09-20,,,,,,META
2000-09-21,,,,,,META
2000-09-22,,,,,,META
2000-09-25,,,,,,META
2000-09-26,,,,,,META
2000-09-27,,,,,,META
2000-09-28,,,,,,META
2000-09-29,,,,,,META
2000-10-02,,,,,,META
2000-10-03,,,,,,META
2000-10-04,,,,,,META
2000-10-05,,,,,,META
2000-10-06,,,,,,META
2000-10-09,,,,,,META
2000-10-10,,,,,,META
2000-10-11,,,,,,META
2000-10-12,,,,,,META
2000-10-13,,,,,,META
2000-10-16,,,,,,META
2000-10-17,,,,,,META
2000-10-18,,,,,,META
2000-10-19,,,,,,META
2000-10-20,,,,,,META
2000-10-23,,,,,,META
2000-10-24,,,,,,META
2000-10-25,,,,,,META
2000-10-26,,,,,,META
2000-10-27,,,,,,META
2000-10-30,,,,,,META
2000-10-31,,,,,,META
2000-11-01,,,,,,META
2000-11-02,,,,,,META
2000-11-03,,,,,,META
2000-11-06,,,,,,META
2000-11-07,,,,,,META
2000-11-08,,,,,,META
2000-11-09,,,,,,META
2000-11-10,,,,,,META
2000-11-13,,,,,,META
2000-11-14,,,,,,META
2000-11-15,,,,,,META
2000-11-16,,,,,,META
2000-11-17,,,,,,META
