Symbol,RF_TestAcc,RF_ValAcc,Prophet_MAE,Prophet_RMSE,Prophet_R2,XGB_MAE,XGB_RMSE,XGB_R2,LSTM_MAE,LSTM_RMSE,LSTM_R2
AAPL,1.0,1.0,21.260468875394235,25.445391424158785,0.2323018343687363,22.2287674111835,32.14717979697528,-0.23595447234319566,4.282653687175815,5.643828383516898,0.9590038666385916
NVDA,1.0,1.0,47.22240505652692,60.94772968229551,-1.1162471942079026,45.03691936953593,60.31778906495331,-1.077223867567076,21.87557764250033,30.54002275868907,0.45618284727792435
MSFT,0.9986772486772487,1.0,33.34806414329956,39.26040199267823,0.6312521167974152,53.58009102384923,70.30215544650811,-0.18987529795067126,15.179141092087331,18.27589108677811,0.912841569306359
AMZN,0.9986772486772487,1.0,28.807740293508218,36.77399453317992,0.040286917763045715,6.8969380976790085,11.868023624827726,0.8995641836441064,8.180338032759167,9.831722289148628,0.9281926133378017
META,0.9986772486772487,0.9955555555555555,312.5506367122543,364.2042774843393,-5.534358015678825,76.54392494589595,110.71837321199479,0.39299736669035434,20.032974704016148,26.31076655020024,0.9638998758847829
TSLA,1.0,1.0,164.81629413935286,174.17973361098336,-7.397448902273393,9.35021376205703,15.2795833442389,0.9350141841142305,15.598339040795725,21.82450237862139,0.8614181113655033
^GSPC,1.0,1.0,381.41694349060595,427.34381916681616,0.5891551928040314,397.29482101181804,586.6524247247762,0.22333123331695848,238.0549491361253,271.0111201755903,0.8302784839632461
NQ=F,1.0,1.0,1561.8720108915131,1841.5994430141886,0.583649203581743,1592.6810667486304,2322.8679252606657,0.33342329557492834,531.3024906152615,626.9597523292472,0.948558884116956
RTY=F,0.9973544973544973,0.9960159362549801,748.7675665323037,854.7304261272249,-20.436393563950805,26.427467862923304,34.371817504034965,0.9652930660190915,44.94000476667453,58.0728153614616,0.9013612644672709
^DJI,1.0,1.0,1968.828901350197,2290.5172299276333,0.6000557511379037,2366.6582817465573,3420.618658495899,0.10747898247991494,877.1800407032982,1165.8047835376894,0.8962781015887193
